"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 21:55:20 TRT 2024","Wed Jun 05 21:55:27 TRT 2024","6050","","ConstructorTests","","ConstructorTests","saucesTabTest","Click on sauces tab",""
"passed","Wed Jun 05 21:56:43 TRT 2024","Wed Jun 05 21:56:49 TRT 2024","6462","","GoFromProfileTest","","GoFromProfileTest","goFromProfileToMain[Go from profile using the /constructor button]","goFromProfileToMain[Go from profile using the /constructor button]",""
"passed","Wed Jun 05 21:56:06 TRT 2024","Wed Jun 05 21:56:23 TRT 2024","16796","","LoginTests","","LoginTests","logoutTest","Log out from account",""
"passed","Wed Jun 05 21:56:23 TRT 2024","Wed Jun 05 21:56:36 TRT 2024","12889","","LoginTests","","LoginTests","logInFromResetPasswordPageTest","Log in from reset password page",""
"passed","Wed Jun 05 21:55:40 TRT 2024","Wed Jun 05 21:55:54 TRT 2024","13846","","LoginTests","","LoginTests","logInWithMainButtonTest","Log in with Log in button on main page",""
"passed","Wed Jun 05 21:56:49 TRT 2024","Wed Jun 05 21:56:59 TRT 2024","10128","","RegistrationTests","","RegistrationTests","fiveSymbolsPasswordTest","Should return error when registration with five symbols password",""
"passed","Wed Jun 05 21:55:27 TRT 2024","Wed Jun 05 21:55:40 TRT 2024","13150","","LoginTests","","LoginTests","logInWithAccountButtonTest","Log in with account button",""
"passed","Wed Jun 05 21:56:36 TRT 2024","Wed Jun 05 21:56:43 TRT 2024","7034","","GoFromProfileTest","","GoFromProfileTest","goFromProfileToMain[Go from profile using the /logo button]","goFromProfileToMain[Go from profile using the /logo button]",""
"passed","Wed Jun 05 21:54:55 TRT 2024","Wed Jun 05 21:55:09 TRT 2024","14429","","GoToProfileTest","","GoToProfileTest","authUserGetProfileTest","Go to the profile as an authorized user",""
"passed","Wed Jun 05 21:55:14 TRT 2024","Wed Jun 05 21:55:20 TRT 2024","6084","","ConstructorTests","","ConstructorTests","switchBunTabTest","Switch from Buns tab and go back to Buns tab",""
"passed","Wed Jun 05 21:55:09 TRT 2024","Wed Jun 05 21:55:14 TRT 2024","5135","","ConstructorTests","","ConstructorTests","fillingTabTest","Click on fillings tab",""
"passed","Wed Jun 05 21:55:54 TRT 2024","Wed Jun 05 21:56:06 TRT 2024","12387","","LoginTests","","LoginTests","logInFromRegistrationPageTest","Login from the registration page",""
"passed","Wed Jun 05 21:54:37 TRT 2024","Wed Jun 05 21:54:55 TRT 2024","17114","","GoToProfileTest","","GoToProfileTest","unauthorizedUserGetProfile","Go to the profile as an unauthorized user",""
